1;7625D05A500104E0
2;9926D05A500104E0
3;53F7CF5A500104E0
4;A34DD15A500104E0
5;714CD15A500104E0
6;2620D05A500104E0
7;A538D05A500104E0
8;B171D15A500104E0
9;F918D05A500104E0
10;5370D15A500104E0
11;4924D05A500104E0
12;FCF4CF5A500104E0
13;4C24D05A500104E0
14;55F7CF5A500104E0
15;2769D15A500104E0
16;5570D15A500104E0
17;066DD15A500104E0
18;C242D15A500104E0
19;3024D05A500104E0
20;4F02D05A500104E0
21;A638D05A500104E0
22;B047D15A500104E0
23;9171D15A500104E0
24;7837D05A500104E0
25;23FCCF5A500104E0
26;1350D15A500104E0
27;7637D05A500104E0
28;6075D15A500104E0
29;4B24D05A500104E0
30;FA18D05A500104E0
31;C62DD05A500104E0
32;171FD05A500104E0
33;F305D05A500104E0
34;5425D05A500104E0
35;8126D05A500104E0
36;BE32D05A500104E0
37;B732D05A500104E0
38;3224D05A500104E0
39;BC6DD15A500104E0
40;EA4ED15A500104E0
41;584BD15A500104E0
42;146FD15A500104E0
43;FDF4CF5A500104E0
44;AF71D15A500104E0
45;AC27D05A500104E0
46;2F75D15A500104E0
47;1E4AD15A500104E0
48;2B24D05A500104E0
49;D027D05A500104E0
50;D628D05A500104E0
51;1F4AD15A500104E0
52;B26DD15A500104E0
53;B66DD15A500104E0
54;B76DD15A500104E0
55;AC38D05A500104E0
56;B547D15A500104E0
57;7737D05A500104E0
58;D921D05A500104E0
59;2569D15A500104E0
60;072FD05A500104E0
61;092AD05A500104E0
62;8971D15A500104E0
63;2F24D05A500104E0
64;0344D15A500104E0
65;A76DD15A500104E0
66;0801D05A500104E0
67;CE42D15A500104E0
68;7E70D15A500104E0
100;F822D05A500104E0
200;B16DD15A500104E0
300;616AD15A500104E0
400;1201D05A500104E0