#TimeStamp;OutputStation;TurnoverTime;ThroughputTime;Lateness
63.02;0;54.29;54.29;-Infinity
222.94;0;45.17;45.17;-Infinity
243.36;0;168.72;168.72;-Infinity
303.73;0;204.52;204.52;-Infinity
394.22;0;319.05;319.05;-Infinity
444.64;0;42.06;42.06;-Infinity
455.27;0;345.03;345.02;-Infinity
467.07;1;163.76;163.76;-Infinity
485.73;0;333.17;333.17;-Infinity
536.1;0;484.88;484.88;-Infinity
546.32;0;468.78;468.78;-Infinity
566.58;0;482.23;482.2;-Infinity
577.36;1;339.63;339.63;-Infinity
627.16;0;114.46;60.22;-Infinity
657.58;0;346.04;346.04;-Infinity
707.8;0;561.32;561.32;-Infinity
718.13;0;459.12;459.12;-Infinity
728.57;0;299.93;242.76;-Infinity
738.09;1;212.79;160.38;-Infinity
748.22;1;292.95;280.92;-Infinity
749.2;0;522.45;522.41;-Infinity
768.64;1;365.41;365.41;-Infinity
809.62;0;771.67;771.65;-Infinity
829.11;1;111.65;90.96;-Infinity
839.37;1;633.45;633.45;-Infinity
839.65;0;308.23;181.86;-Infinity
869.65;1;393.12;40.42;-Infinity
889.81;0;353.71;181.68;-Infinity
900;0;850.52;850.52;-Infinity
909.61;1;691.25;691.25;-Infinity
920.42;0;362.85;201.87;-Infinity
930.84;0;413.84;303.48;-Infinity
970.03;1;735;735;-Infinity
991.26;0;481.64;444.74;-Infinity
1001.68;0;395.82;252.29;-Infinity
1010.73;1;85.66;40.31;-Infinity
1042.21;0;428.68;232.39;-Infinity
1052.52;0;625.9;607.55;-Infinity
1060.84;1;695.99;695.99;-Infinity
1071.27;1;420.38;302.49;-Infinity
1082.94;0;119.71;91.31;-Infinity
1093.36;0;169.2;162.15;-Infinity
1143.81;0;271.89;243.45;-Infinity
1154.49;0;667.98;618.26;-Infinity
1161.68;1;162.17;150.84;-Infinity
1194.2;0;333.47;304.2;-Infinity
1212.14;1;982.21;982.21;-Infinity
1232.57;1;346.27;322.57;-Infinity
1234.79;0;354.47;314.01;-Infinity
1245.08;0;681.02;516.11;-Infinity
1263.07;1;857.52;857.52;-Infinity
1345.23;0;115.68;110.22;-Infinity
1348.49;1;142.59;135.97;-Infinity
1355.9;0;283.35;272.59;-Infinity
1386.19;0;41.79;30.22;-Infinity
1456.38;0;445.65;403.5;-Infinity
1466.37;0;431.72;423.9;-Infinity
1469.25;1;250.55;236.31;-Infinity
1487.14;0;366.54;342.99;-Infinity
1507.34;0;318.6;312.74;-Infinity
1517.63;0;407.49;363.09;-Infinity
1580.43;1;175.44;111.03;-Infinity
1597.74;0;914.61;595.69;-Infinity
1618.2;0;298.27;272.65;-Infinity
1678.42;0;565.83;432.98;-Infinity
1738.64;0;371.38;352.24;-Infinity
1798.81;0;491.55;342.29;-Infinity
1809.19;0;1165.25;969.25;-Infinity
1879.61;0;1443.06;1424.22;-Infinity
1899.66;0;589.79;432.94;-Infinity
1950.31;0;854.37;854.37;-Infinity
1960.42;0;288.66;281.67;-Infinity
1963.29;1;817.13;801.19;-Infinity
1973.71;1;1688.67;1688.67;-Infinity
2000.84;0;371.04;371.04;-Infinity
2014.13;1;866.41;750.77;-Infinity
2101.51;0;414.52;140.74;-Infinity
2104.97;1;1034.9;1034.89;-Infinity
2125.05;1;1384.77;1285.4;-Infinity
2135.11;1;1523.52;1386.76;-Infinity
2162.02;0;478.18;352.5;-Infinity
2185.66;1;1343.54;1315.72;-Infinity
2195.58;1;440.4;70.48;-Infinity
2216.12;1;1044.64;867.53;-Infinity
2226.42;1;440.6;90.9;-Infinity
2232.24;0;152.29;130.64;-Infinity
2252.56;0;408.61;352.56;-Infinity
2287.15;1;462.81;60.33;-Infinity
2292.57;0;728.84;728.84;-Infinity
2297.59;1;243.37;101.61;-Infinity
2303.14;0;624.16;564.16;-Infinity
2317.67;1;342.04;30.39;-Infinity
2333.1;0;344.98;331.91;-Infinity
2353.52;0;529.41;473.57;-Infinity
2407.78;1;392.89;110.08;-Infinity
2423.81;0;649.27;624.7;-Infinity
2480.32;1;278.3;263.92;-Infinity
2493.81;0;792.34;331.74;-Infinity
2523.94;0;857.35;857.35;-Infinity
2540.42;1;1469.57;1468.74;-Infinity
2544.36;0;766.92;210.99;-Infinity
2551.13;1;490.53;233.38;-Infinity
2554.78;0;1033.33;1033.33;-Infinity
2594.83;0;612.18;40;-Infinity
2601.55;1;93.42;50.35;-Infinity
2605.25;0;1081.86;1081.86;-Infinity
2611.68;1;207.46;70.9;-Infinity
2642.39;1;636.84;30.35;-Infinity
2706.01;0;708.62;110.76;-Infinity
2756.17;0;748.7;150.51;-Infinity
2829.4;1;1090.29;724.38;-Infinity
2836.74;0;605.46;604.2;-Infinity
2839.68;1;2504.5;2504.5;-Infinity
2846.87;0;1050.61;493.08;-Infinity
2849.85;1;2499.9;2499.9;-Infinity
2887.1;0;274.54;40.09;-Infinity
2900;1;292.42;60.11;-Infinity
2917.44;0;1100.8;664.58;-Infinity
2937.94;0;505.49;100.97;-Infinity
2978.46;0;595.49;484.55;-Infinity
3008.11;1;1206.14;1034.25;-Infinity
3008.66;0;393.72;121.47;-Infinity
3018.53;1;1206.14;1004.34;-Infinity
3028.74;1;1455.78;1448.27;-Infinity
3059.32;0;151.9;141.67;-Infinity
3069.28;1;1367.54;1105.84;-Infinity
3069.36;0;1186.8;545.38;-Infinity
3079.35;1;1198.56;477.73;-Infinity
3109.86;1;1429.9;701.66;-Infinity
3120;1;698.48;90.92;-Infinity
3150.32;1;1024.38;507.86;-Infinity
3159.88;0;886.19;856.7;-Infinity
3200.88;1;436.58;371.29;-Infinity
3229.77;0;1285.58;685.36;-Infinity
3241.3;1;137.47;40.14;-Infinity
3270.46;0;1038.22;40.42;-Infinity
3310.91;0;817.17;40.41;-Infinity
3311.8;1;1095.67;411.63;-Infinity
3321.34;0;615.33;312.42;-Infinity
3341.81;1;1502.9;333.57;-Infinity
3372.27;1;327.61;221.53;-Infinity
3382.77;1;971.05;262.45;-Infinity
3391.67;0;1116.75;1098.72;-Infinity
3401.87;0;736.92;695.78;-Infinity
3413.15;1;808.24;101.3;-Infinity
3443.59;1;1191.87;101.54;-Infinity
3452.18;0;611.75;292.26;-Infinity
3454.06;1;842.8;40.74;-Infinity
3484.48;1;860.19;40.7;-Infinity
3492.18;0;774.39;735.67;-Infinity
3494.9;1;1223.18;122.42;-Infinity
3502.52;0;780.91;564.45;-Infinity
3515.32;1;668.15;30.7;-Infinity
3525.74;1;876.73;71.54;-Infinity
3566.16;1;602.42;71.12;-Infinity
3576.22;1;294.99;50.34;-Infinity
3583.16;0;716.02;604.65;-Infinity
3606.7;1;562.98;91.24;-Infinity
3633.4;0;305.93;181.06;-Infinity
3643.64;0;1706.85;1219.78;-Infinity
3646.78;1;343.24;80.56;-Infinity
3657.18;1;1089.39;274.29;-Infinity
3683.95;0;1850.65;1733.53;-Infinity
3697.6;1;604.55;90.86;-Infinity
3734.37;0;1807.23;231.57;-Infinity
3738.02;1;129.12;40.38;-Infinity
3744.79;0;346.04;252.41;-Infinity
3748.44;1;1798.14;1562.51;-Infinity
3778.52;1;1126.88;30.03;-Infinity
3808.94;1;1093.24;30.03;-Infinity
3835.4;0;593.54;443.59;-Infinity
3865.95;0;619.39;554.99;-Infinity
3889.96;1;904.22;80.64;-Infinity
3896.02;0;499.58;493.79;-Infinity
3946.15;0;1313.54;201.13;-Infinity
3976.6;0;536.41;110.61;-Infinity
4026.83;0;122.95;80.52;-Infinity
4037.56;0;394.34;393.8;-Infinity
4057.28;1;1497.08;987.91;-Infinity
4067.69;1;1903.45;1217.69;-Infinity
4077.49;0;771.4;241.94;-Infinity
4087.8;0;1868.46;504.58;-Infinity
4117.52;0;455.83;433.34;-Infinity
4128.11;0;1028.96;151.38;-Infinity
4128.11;1;2282.64;886.53;-Infinity
4138.41;1;1959.42;248.4;-Infinity
4188.38;0;415.67;292.2;-Infinity
4201.68;1;1721.78;1721.32;-Infinity
4211.94;1;1929.58;1193.28;-Infinity
4218.94;0;1624.34;131.1;-Infinity
4241.68;1;807.95;29.68;-Infinity
4252.38;1;1403.66;1172.9;-Infinity
4299.48;0;1576.2;1240.12;-Infinity
4329.83;0;502.35;302.64;-Infinity
4342.76;1;1105.63;140.83;-Infinity
4390.19;0;344.17;312.45;-Infinity
4393.09;1;797.73;140.65;-Infinity
4400;0;282.5;271.84;-Infinity
4403.04;1;175.22;161;-Infinity
4410.55;0;611.71;111.02;-Infinity
4440.84;0;1499.04;252.26;-Infinity
4443.37;1;295.86;50.03;-Infinity
4451.53;0;1648.22;1382.05;-Infinity
4501.78;0;1223.69;1180.39;-Infinity
4542.06;0;47.89;40.03;-Infinity
4552.62;0;1949.92;434.73;-Infinity
4612.64;0;907.9;393.64;-Infinity
4622.81;0;280.08;222.47;-Infinity
4703.22;0;634.05;373.27;-Infinity
4743.56;0;591.61;332.8;-Infinity
4754.06;0;154.97;141.15;-Infinity
4804.65;0;205.23;181.68;-Infinity
4825.06;0;184.06;121.62;-Infinity
4838.39;1;2399.13;780.91;-Infinity
4848.84;1;2380.93;781.1;-Infinity
4878.85;1;1972.4;475.46;-Infinity
4885.31;0;149.89;131.09;-Infinity
4929.09;1;1335.77;1271.86;-Infinity
4935.34;0;252.71;130.64;-Infinity
4954.69;0;145.73;69.3;-Infinity
4969.64;1;1903.32;130.97;-Infinity
4980.03;1;1118.13;100.76;-Infinity
4985.37;0;515.49;49.91;-Infinity
4995.79;0;1592.32;40.7;-Infinity
5010.36;1;1474.66;81.05;-Infinity
5053.25;0;276.48;67.74;-Infinity
5090.28;1;1326.86;120.6;-Infinity
5100.66;1;2431.28;962.08;-Infinity
5121.32;0;1452.6;1386.72;-Infinity
5131.74;0;2729.06;1498.03;-Infinity
5190.76;1;2467.81;847.79;-Infinity
5192.16;0;2459.81;750.98;-Infinity
5201.26;1;1744.5;1554.1;-Infinity
5211.6;1;2424.27;767.97;-Infinity
5222.1;1;2373.09;2112.2;-Infinity
5242.58;0;888.15;121.1;-Infinity
5253;0;2458.33;801.4;-Infinity
5263.49;0;762.97;131.58;-Infinity
5272.36;1;1851.02;292.25;-Infinity
5333.44;0;1881.09;80.27;-Infinity
5342.59;1;2341.19;120.43;-Infinity
5343.84;0;658.93;151.52;-Infinity
5373.07;1;2601;1796.8;-Infinity
5383.59;1;1767.53;1645.52;-Infinity
5413.57;1;1759.24;564.48;-Infinity
5433.99;1;447.51;423.58;-Infinity
5454.53;1;1461.88;353.67;-Infinity
5458.46;0;2314.23;462.63;-Infinity
5468.88;0;1704.72;205.3;-Infinity
5499.3;0;1282.51;40.54;-Infinity
5504.93;1;827.36;314.02;-Infinity
5515.35;1;2068.16;172.34;-Infinity
5525.77;1;1932.14;141.92;-Infinity
5549.73;0;1241.3;1159.43;-Infinity
5576.26;1;3022.1;1448.1;-Infinity
5599.4;0;1571.37;99.8;-Infinity
5606.37;1;1594.63;151.77;-Infinity
5609.45;0;1790.44;275.81;-Infinity
5649.59;0;822.58;39.84;-Infinity
5676.61;1;1500.67;69.89;-Infinity
5686.99;1;1789.88;273.09;-Infinity
5727.41;1;1772.55;293.09;-Infinity
5767.83;1;2179.68;394.4;-Infinity
5808.43;1;1108.52;607.11;-Infinity
5818.53;1;2094.4;727.91;-Infinity
5828.8;1;1713.84;313.36;-Infinity
5832.51;0;2668.23;1290.06;-Infinity
5842.93;0;1883.09;498.88;-Infinity
5889.28;1;927.22;677.54;-Infinity
5899.57;1;1384.29;171.83;-Infinity
5905.04;0;1938.79;355.04;-Infinity
5919.96;1;1394.08;151.8;-Infinity
5930.17;1;2741.05;657.59;-Infinity
5947.32;0;1329.12;114.72;-Infinity
5950.57;1;1913.94;445.56;-Infinity
5977.76;0;999.57;30.13;-Infinity
6011.03;1;1866.37;485.18;-Infinity
6041.4;1;1579.36;354.08;-Infinity
6051.53;1;1401.34;232.91;-Infinity
6062.08;1;1202.22;233.03;-Infinity
6072.32;1;1900.16;496.01;-Infinity
6111.2;0;1294.74;268.18;-Infinity
6112.52;1;1175.83;161.71;-Infinity
6122.81;1;1577.59;222.93;-Infinity
6143.12;1;1695.66;466.22;-Infinity
6153.5;1;1623.03;344.92;-Infinity
6157.43;0;2147.37;688.24;-Infinity
6163.86;1;1549.26;243.85;-Infinity
6167.5;0;1947.65;517.62;-Infinity
6174.08;1;1354.11;243.68;-Infinity
6184.27;1;1648.6;294.81;-Infinity
6187.66;0;2235.54;2150.05;-Infinity
6197.93;0;3295.21;1144.57;-Infinity
6208.34;0;1526.56;1464.47;-Infinity
6218.9;0;1522.16;976.15;-Infinity
6229.11;0;1600.5;324.02;-Infinity
6239.68;0;1365.01;261.63;-Infinity
6249.74;0;2849.25;1696.87;-Infinity
6260.22;0;1483.36;660.51;-Infinity
6270.14;0;1530.53;1445.03;-Infinity
